date,symbol,open,high,low,close,volume,amount,adjfactor
20250102,000001.SZ,66.5984,68.3735,65.218,67.7849,34158274,3020548743.64,0.6304
20250102,600000.SH,47.0326,48.6289,46.489,47.4995,10743044,1575640210.65,1.3174
20250102,000002.SZ,30.0182,32.2679,26.8592,30.1455,35208830,527334615.68,0.7332
20250102,600001.SH,95.8224,96.4274,93.4393,96.4967,30582575,3898780397.9,1.5946
20250102,000300.SH,59.2068,59.3961,56.9167,58.5899,31307467,2518231988.66,1.366
20250103,000001.SZ,72.5031,74.0952,71.2796,72.9913,12406753,436729948.65,0.917
20250103,600000.SH,66.9413,68.3221,64.8401,66.9786,46896074,2201430859.32,1.4137
20250103,000002.SZ,25.8607,25.8927,23.5408,25.892,32359988,718649764.61,1.5269
20250103,600001.SH,86.4087,86.5438,82.953,85.6721,14119302,973456636.44,1.9144
20250103,000300.SH,88.5024,90.8394,87.06,89.2876,23483740,1242368264.37,0.8699
20250104,000001.SZ,60.0486,62.2769,60.2166,60.4225,11746717,3018854047.14,1.2643
20250104,600000.SH,17.2761,18.5108,17.0642,18.4739,21685838,74779348.04,1.0724
20250104,000002.SZ,99.7092,102.5642,99.2333,99.1624,36315369,3428371272.14,1.3055
20250104,600001.SH,34.2962,34.3489,32.3186,33.968,47736980,1493797563.78,0.8951
20250104,000300.SH,54.4101,57.7906,54.6643,54.8512,32308525,1697801510.96,0.7293
20250105,000001.SZ,78.7047,80.9619,77.217,78.1265,16883646,153663484.29,1.8936
20250105,600000.SH,89.7483,90.0075,86.2587,89.463,47400522,462976290.01,1.229
20250105,000002.SZ,16.7503,18.5266,13.6143,16.2044,27940376,227009369.24,1.8086
20250105,600001.SH,47.506,49.7003,47.2722,47.7836,16274098,2392692429.34,1.4748
20250105,000300.SH,49.4642,49.792,47.1031,49.2671,29827127,606771807.47,0.8303
20250106,000001.SZ,16.6516,17.0762,16.1056,16.749,4472010,207526022.72,1.5035
20250106,600000.SH,28.5459,32.0879,27.9944,29.254,39446351,1187865343.91,0.7856
